WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.46994923363982 34.015562218951835)"	1325		1	101790	29386	90	1	SMC14	 			12
"POINT (-118.47093652224906 34.017642517830915)"	1326		1	101792	29387	90	1	SMC16	 			12
"POINT (-118.47115934448681 34.01736104276597)"	1327		1	101793	29388	90	1	SMC17	 			12
"POINT (-118.45356493110596 34.011478757828925)"	1328		0	45727	29389	355.94296264	4800	1505	16-27			12
"POINT (-118.45529215484551 34.013652799514169)"	1329		3	101795	29391	90	1	SMA2	 			12
"POINT (-118.45426967288384 34.015215465042708)"	1330		1	101796	29392	90	1	SMA3	 			12
"POINT (-118.45362503502483 34.015091325700162)"	1331		3	101797	29393	90	1	SMA4	 			12
"POINT (-118.4530801654163 34.015503275832984)"	1332		3	101798	29394	90	1	SMA5	 			12
"POINT (-118.45181318167693 34.016574930641397)"	1333		3	101800	29395	90	1	SMA7	 			12
"POINT (-118.45007150734465 34.018393865492222)"	1334		3	101802	29396	90	1	SMA9	 			12
"POINT (-118.44968906023739 34.018720933582287)"	1335		1	101804	29397	90	1	SMA11	 			12
"POINT (-118.44996392465097 34.018491214112295)"	1336		1	101803	29398	90	1	SMA10	 			12
"POINT (-118.44988648931003 34.019271672457315)"	1337		3	101805	29399	90	1	SMA12	 			12
"POINT (-118.45391191858073 34.012370958416497)"	1338		0	45949	29401	53.74085617	5254	1761	16-25			12
"POINT (-118.45219476907441 34.012510750530247)"	1339		0	45728	29429	263.30529785	4801	1506	16-29			12
"POINT (-118.44720168207333 34.020884342055389)"	1340		0	45825	29437	259.36160278	4898	1603	24-1			12
"POINT (-118.44794499613748 34.02156508533097)"	1341		0	45826	29440	260.15795898	4899	1604	24-140			12
"POINT (-118.45075370551004 34.017504654300943)"	1342		1	101801	29444	90	1	SMA8	 			12
"POINT (-118.4526305725245 34.017277231762897)"	1343		1	101799	29445	90	1	SMA6	 			12
"POINT (-118.45315304167568 34.016975558023766)"	1344		1	101814	29446	90	1	SMA14	 			12
"POINT (-118.45396419247049 34.016401036648887)"	1345		1	101813	29447	90	1	SMA13	 			12
"POINT (-118.4546974468166 34.015761981897008)"	1346		1	101794	29448	90.46298217	1	SMA1	 			12
"POINT (-118.50190177751783 34.01753560088973)"	1347		0	45520	29494	89.99375152	4586	1298	2-23			12
"POINT (-118.44515749776828 34.01900586295983)"	1348		2	45836	29526	227.5065155	4909	1614	24-3			12
"POINT (-118.50155477610643 34.021712856479233)"	1349		0	44707	29570	0.12543898	1243	56	2-67			12
"POINT (-118.50345455080614 34.020174256285287)"	1350		0	45514	29572	359.97665405	4580	1292	2-43			12
"POINT (-118.46142206285386 34.021751630779768)"	1351		0	45251	29601	259.27288818	3504	856	17-3			12
"POINT (-118.49361239238488 34.019140647846307)"	1352		0	93493	29647	89.85581207	93492	202	3-179A			12
"POINT (-118.49409656377105 34.014537736895477)"	1353		0	45559	29650	359.79501342	4626	1337	3-113			12
"POINT (-118.46260960457133 34.006602285799531)"	1354		0	45928	29706	169.08389282	5211	1739	15-38			12
"POINT (-118.47226669845949 34.006987613956284)"	1355		0	44888	29761	84.14513397	2009	323	6-92			12
"POINT (-118.49596014288028 34.034614085380532)"	1356		0	44937	29764	339.72628784	2194	394	11-169			12
"POINT (-118.47899889026407 34.016013736430857)"	1357	1	0	103568			103569	1918	7-135A			12
"POINT (-118.48956981419313 34.010862261893244)"	1358	1	0	103137			103941	1852	4-34A			12
"POINT (-118.48690117332445 34.028150347089991)"	1359	1	0	104486			105442	1921	12-131A			12
"POINT (-118.4876978030875 34.027491053972192)"	1360	1	0	104484			105443	1919	12-136A			12
"POINT (-118.48552404586329 34.026930544933805)"	1361	1	0	104485			105444	1920	13-31A			12
"POINT (-118.49112064657182 34.028840573087287)"	1362	1	0	105886			106075	1922	12-65A			12
"POINT (-118.48169323157562 34.005490735579777)"	1363	1	0	45614			4686	1392	4-93			12
"POINT (-118.48089194229206 34.00912431533775)"	1364	1	0	45616			4688	1394	4-62			12
"POINT (-118.50016608134737 34.007592641698601)"	1365	1	4	45598			4669	1376	3-19C			12
"POINT (-118.49991882592685 34.00779386896474)"	1366	1	4	45597			4668	1375	3-19B			12
"POINT (-118.49997793268325 34.007429493114259)"	1367	1	4	106390			106391	1678	3-20D			12
"POINT (-118.4997172304289 34.007287321801989)"	1368	1	4	45599			4670	1377	3-20B			12
"POINT (-118.49843938808807 34.008418095763886)"	1369	1	4	106395			106396	1679	3-21B			12
"POINT (-118.49788618447481 34.00790750597762)"	1370	1	4	106397			106398	1672	3-21C			12
"POINT (-118.49721167341492 34.008452475600841)"	1371	1	4	106399			106400	1673	3-22B			12
"POINT (-118.49658240327004 34.008989151950097)"	1372	1	4	106401			106402	1687	3-23A			12
"POINT (-118.49608205592391 34.009355168243907)"	1373	1	4	106403			106404	1688	3-24A			12
"POINT (-118.49684807342182 34.00996026681662)"	1374	1	4	106405			106406	1689	3-15A			12
"POINT (-118.49726728917851 34.00956860719976)"	1375	1	4	106407			106408	1690	3-17D			12
"POINT (-118.49800155213782 34.008952092668821)"	1376	1	4	106410			106411	1691	3-17E			12
